Rk,Team,G,MP,FG,FGA,FG_percent,3P,3PA,ThreeP_percent,2P,2PA,TwoP_percent,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
26,Phoenix Suns,82,240.6,36.3,81.4,0.446,5.8,16.8,0.349,30.4,64.6,0.471,19.5,25.5,0.765,12.7,31.1,43.8,21.5,7.9,5.3,15.9,19.4,97.9,2004
27,Los Angeles Clippers,82,241.5,37.5,81.5,0.46,5.5,15.3,0.36,32,66.2,0.483,18.8,25.4,0.741,12.6,28.8,41.4,22.9,8.5,5.3,13.7,22.7,99.4,2004
28,Dallas Mavericks*,82,241.5,38.2,83.2,0.459,6.5,17.9,0.363,31.7,65.3,0.486,17.8,23.9,0.746,12.3,31.2,43.5,23.6,7.1,4.7,15.1,20.6,100.8,2004
29,Orlando Magic,82,241.8,38.6,83,0.466,6,15.9,0.377,32.7,67.1,0.487,17.8,24,0.742,13.1,31.3,44.4,24.4,7.6,5.5,13.5,20.6,101.1,2004
1,San Antonio Spurs*,82,241.5,33.1,77.5,0.426,3.9,10.7,0.367,29.1,66.8,0.436,18.3,23.8,0.768,10.9,29.3,40.2,16.9,7.2,5.1,15.1,23.1,88.4,2005
2,Detroit Pistons*,82,243.4,34,79.2,0.43,5,14.8,0.338,29,64.4,0.451,16.4,21.8,0.751,11.3,28.3,39.6,19.7,7.4,4.5,13.8,22.6,89.5,2005
3,Houston Rockets*,82,242.1,33.2,78.3,0.423,5.5,16.4,0.338,27.6,62,0.446,19.2,25.8,0.742,10.9,29.8,40.7,20.7,7.4,4.1,13.3,21.6,91,2005
4,Memphis Grizzlies*,82,240.3,32.7,75.8,0.432,5.2,14.8,0.351,27.5,61,0.452,20.5,26.6,0.771,12.1,29.1,41.2,19.9,7.5,5.8,15.9,22.6,91.1,2005
5,Indiana Pacers*,82,242.7,33.8,76.6,0.44,4.8,13.1,0.365,29,63.6,0.456,20,26.9,0.743,11.9,29.5,41.3,18.8,6.7,4.9,13.9,23,92.2,2005
6,New Jersey Nets*,82,242.7,33,75.2,0.439,5.9,16.1,0.368,27.1,59.1,0.459,20.9,28.1,0.744,10.7,30.5,41.2,20.3,7.3,4.9,15.6,22.9,92.9,2005
7,Chicago Bulls*,82,241.8,33.7,79.9,0.422,5.1,15.2,0.334,28.6,64.7,0.443,20.9,28.1,0.744,11.9,30.8,42.7,20.9,8.4,5.3,15.5,23.3,93.4,2005
8,Miami Heat*,82,243.7,34.9,81.8,0.427,5.4,15.5,0.348,29.6,66.3,0.446,19.8,26,0.76,11.2,29.2,40.5,19.8,7.5,3.2,13.2,24.6,95,2005
9,Minnesota Timberwolves,82,240.9,36.2,82.6,0.438,5.7,15.7,0.363,30.5,66.9,0.456,17.2,22.9,0.752,12.6,28.8,41.4,21.7,6.6,3.9,11.7,19.9,95.3,2005
10,New Orleans Hornets,82,243,34.7,76.8,0.452,6,16.4,0.367,28.7,60.4,0.475,20,25.9,0.775,11.5,30.3,41.9,21.2,7.7,5.5,14.2,21.1,95.5,2005
11,Cleveland Cavaliers,82,242.1,35.5,78.6,0.452,5.1,13.7,0.376,30.4,64.9,0.468,19.5,26,0.75,11.4,28.3,39.8,21.2,6.7,5.1,14.8,21.6,95.7,2005
12,Los Angeles Clippers,82,244.3,35.8,80.7,0.444,5.9,16.1,0.368,29.9,64.6,0.462,19,24.9,0.762,12,27.5,39.5,21.1,7.8,4.8,13.7,23.6,96.5,2005
13,Seattle SuperSonics*,82,240.9,35.8,77.8,0.459,5.7,16.1,0.357,30,61.8,0.486,19.4,25.9,0.749,11.3,26.5,37.9,20.7,6.2,4.8,13.2,23.8,96.6,2005
14,Dallas Mavericks*,82,240.6,35.9,81.9,0.438,5.5,16.7,0.33,30.4,65.2,0.466,19.5,25.9,0.754,13.1,30.1,43.2,20.9,7.1,4.9,15.6,23.2,96.8,2005
15,Portland Trail Blazers,82,240.6,37.3,83.4,0.447,5.4,15.6,0.343,31.9,67.8,0.471,17,22.6,0.755,14,28.2,42.2,23.5,8.5,5,13.4,20.4,96.9,2005
16,Utah Jazz,82,241.2,33.3,72.7,0.458,5.9,15.8,0.375,27.4,56.9,0.481,24.7,32.4,0.764,10.5,27.2,37.7,19.4,7.9,5.8,14.4,25.1,97.3,2005
17,Denver Nuggets*,82,240.9,36,80.6,0.447,5.6,16.4,0.345,30.3,64.2,0.472,19.9,26.7,0.746,11.9,29.8,41.7,21.7,7.8,5.6,16.4,23.9,97.5,2005
18,New York Knicks,82,242.4,36.6,78.7,0.465,5.7,15.6,0.364,30.9,63.1,0.49,20.9,27.6,0.756,11.8,29.9,41.7,20.7,7.3,4.7,14.6,21.2,99.7,2005
19,Philadelphia 76ers*,82,242.1,35.7,80.7,0.443,6.9,19,0.362,28.8,61.7,0.468,21.5,28,0.767,11.6,32.5,44.1,22.9,8.3,4.7,17,23.5,99.9,2005
20,Milwaukee Bucks,82,241.2,37.8,81.4,0.464,5.6,16.5,0.343,32.1,65,0.494,19,24.7,0.771,11.4,29.4,40.8,23.8,7.5,4.5,13,23.8,100.2,2005
21,Charlotte Bobcats,82,242.4,36.8,79.4,0.463,5.4,14.9,0.361,31.4,64.4,0.487,21.3,27.8,0.767,11.7,31.5,43.2,21.6,7.6,5.4,15.8,22.7,100.2,2005
22,Boston Celtics*,82,242.4,36.1,81.3,0.444,6,16.7,0.356,30.1,64.6,0.467,22.3,29.5,0.753,12.7,29.6,42.3,22.7,8.7,4.9,15.6,23.6,100.4,2005
23,Washington Wizards*,82,241.2,37.8,82.3,0.459,6.4,17.5,0.364,31.4,64.8,0.485,18.9,24.8,0.762,12.4,30.6,43,23,7.1,5,15.9,24.3,100.8,2005
24,Golden State Warriors,82,242.7,38.2,83.4,0.458,5.5,15.1,0.363,32.7,68.3,0.479,19,25.5,0.745,12.9,33.8,46.7,22.7,7,5.1,15.3,21.7,100.9,2005
25,Toronto Raptors,82,241.5,38.2,81.8,0.467,5.3,14.9,0.356,32.9,66.9,0.492,19.6,26.4,0.744,12.1,33.2,45.3,22.1,6.2,4.4,14.4,21.9,101.4,2005
26,Sacramento Kings*,82,242.1,38.9,84.6,0.459,5.7,16.1,0.357,33.1,68.6,0.483,18.1,24.5,0.738,13.4,30.9,44.3,21.5,7.6,4.5,14.7,21.5,101.6,2005
27,Los Angeles Lakers,82,241.2,38.3,84.5,0.453,6.7,18.6,0.361,31.6,65.9,0.479,18.4,23.5,0.78,12.5,29.9,42.4,24.4,7.6,5.1,11.8,22.1,101.7,2005
28,Orlando Magic,82,240.3,37.6,83.2,0.451,5.4,15.7,0.343,32.2,67.5,0.477,21.2,28.1,0.754,12.5,29.6,42.1,21.3,8.5,4.3,14.5,23.4,101.8,2005
29,Atlanta Hawks,82,242.1,37.1,77.9,0.476,5.7,15,0.379,31.4,62.9,0.5,22.5,29.2,0.77,11,30.3,41.3,22,8.7,5.9,14.8,21.7,102.5,2005
30,Phoenix Suns*,82,241.2,40.6,91.3,0.445,6,18,0.335,34.6,73.3,0.472,16.1,21.6,0.744,15,31.1,46.1,21.2,7.6,4.2,13.8,21.3,103.3,2005
1,Memphis Grizzlies*,82,242.1,32.8,75.3,0.436,5,14.9,0.334,27.8,60.4,0.461,17.9,23.7,0.754,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5,2006
2,San Antonio Spurs*,82,241.5,33.9,78.3,0.433,3.7,10.8,0.339,30.3,67.5,0.449,17.2,23.3,0.74,10.8,29.5,40.3,16.3,7.3,4.2,13.9,20.8,88.8,2006
3,Detroit Pistons*,82,241.8,35.5,78.7,0.452,4,12.3,0.325,31.5,66.3,0.476,15.1,20.5,0.736,11.6,29.3,40.9,18.8,5.9,3.5,14,21,90.2,2006
4,Houston Rockets,82,241.8,33,77,0.429,6.6,17.9,0.369,26.4,59.1,0.447,19,26,0.731,10.7,30.2,40.9,20.1,7.1,4.5,13.3,20.9,91.7,2006
5,Indiana Pacers*,82,240.6,34.5,79.3,0.435,4.5,13.2,0.343,30,66.1,0.454,18.4,25.1,0.733,11.8,29.5,41.3,18.5,8.1,4.9,13.6,22,92,2006
6,New Jersey Nets*,82,241.2,33.3,75.9,0.439,5.7,16.3,0.348,27.6,59.6,0.464,20.2,27.2,0.741,9.6,31.7,41.3,20,7.2,4,14.4,23,92.4,2006
7,Dallas Mavericks*,82,242.4,34.2,77.1,0.443,4.9,13.7,0.361,29.2,63.4,0.461,19.8,26.4,0.752,11.4,26.9,38.3,17.5,6.5,4.9,14,23.9,93.1,2006
8,Minnesota Timberwolves,82,242.1,34.8,79,0.441,5.5,15,0.364,29.3,64,0.459,18.6,25.3,0.736,11.9,29.4,41.3,19,6.6,4.6,13.9,21.2,93.6,2006
9,Utah Jazz,82,242.4,33.3,74.1,0.449,6,15.8,0.378,27.3,58.3,0.469,22.4,30.1,0.746,10.6,27.3,37.9,18.4,8.1,5.6,14.2,25.7,95,2006
10,Cleveland Cavaliers*,82,241.8,36,79,0.455,5.6,15.7,0.356,30.4,63.3,0.48,17.8,24,0.742,9.8,29.5,39.4,20.3,6.6,4.4,13.2,22.5,95.4,2006
11,Los Angeles Clippers*,82,241.5,35.2,81,0.435,5.8,16.7,0.347,29.4,64.3,0.458,19.4,26.5,0.732,10.5,29.7,40.1,21.5,7,4.3,12.8,21.7,95.6,2006
12,New Orleans/Oklahoma City Hornets,82,241.5,35.2,76.7,0.459,6.7,18.1,0.367,28.5,58.5,0.487,18.7,24.6,0.76,10.5,30.5,41,19.3,6.4,5.3,14.6,23.3,95.6,2006
13,Miami Heat*,82,240.9,35,79.6,0.44,6,16.6,0.361,29,63,0.461,20,27.1,0.739,10.1,28.8,38.8,19.5,6.8,3.6,13,23.6,96,2006
14,Orlando Magic,82,242.7,35,77.2,0.454,5.6,15.7,0.357,29.4,61.5,0.478,20.4,27.9,0.732,11.1,27.3,38.4,20,7.5,4.7,13.4,23.2,96,2006
15,Los Angeles Lakers*,82,242.1,35.9,79.8,0.45,5.8,16.4,0.353,30.1,63.5,0.475,19.3,25.9,0.747,10.9,29.3,40.1,21.1,6.5,4.3,14.1,23.5,96.9,2006
16,Chicago Bulls*,82,242.7,33.8,79.5,0.426,6.1,17.4,0.351,27.7,62,0.447,23.4,30.1,0.777,10.7,31,41.7,20.1,7.5,5.1,15,23,97.2,2006
17,Sacramento Kings*,82,241.8,37.2,82,0.454,5.6,16,0.351,31.6,66,0.479,17.2,23.1,0.747,11.6,30.5,42.1,21.1,8,4.9,14.6,23,97.3,2006
18,Portland Trail Blazers,82,240.6,37,78.9,0.468,6.1,15.9,0.381,30.9,63,0.491,18.3,24,0.76,12.5,29.8,42.4,21.2,7.2,4.9,12.9,20.8,98.3,2006
19,Milwaukee Bucks*,82,242.1,36.2,77.8,0.466,6,16.9,0.354,30.3,61,0.497,20.4,27.3,0.747,10.1,30.2,40.3,22.5,7.4,5,14.4,23.6,98.8,2006
20,Boston Celtics,82,242.4,35.9,78.8,0.456,5.4,15.4,0.353,30.5,63.4,0.481,22.3,30,0.743,11.1,28.9,40,21.5,8.4,4.9,14.8,22.4,99.5,2006
21,Golden State Warriors,82,241.8,37.2,81.4,0.457,5.7,16.3,0.351,31.4,65.1,0.483,19.8,26.7,0.743,12,32.5,44.5,22.3,7,5,15.3,23.4,99.8,2006
22,Washington Wizards*,82,241.8,36.8,79,0.465,6.1,16.8,0.363,30.6,62.2,0.493,20.2,27.1,0.745,11.8,30.2,42,21.5,6.5,4.2,16.2,25.3,99.8,2006
23,Denver Nuggets*,82,243,37.4,82.5,0.454,6.5,18,0.358,31,64.4,0.481,18.8,25.5,0.736,11.8,30.1,41.9,23.9,7.1,5.3,16.1,23.3,100.1,2006
24,Charlotte Bobcats,82,242.7,37.4,78.2,0.478,5.6,15.7,0.356,31.8,62.5,0.509,20.5,27.8,0.737,11.5,32.5,44,22.9,7,5.4,17.9,23.5,100.9,2006
25,Philadelphia 76ers,82,242.7,37.8,81.7,0.463,6.1,17.3,0.351,31.7,64.4,0.493,19.6,25.7,0.762,11.9,30.9,42.8,23,7.7,4.7,15.5,23.1,101.3,2006
26,New York Knicks,82,243,36.2,77.5,0.467,6.9,18.2,0.378,29.3,59.3,0.494,22.8,30.2,0.753,10.8,27.8,38.6,21.3,8.2,5.3,14.1,25.4,102,2006
27,Atlanta Hawks,82,242.4,37.5,78.5,0.478,5.4,14.7,0.368,32.1,63.8,0.503,21.6,28.9,0.745,12,28.5,40.4,20.6,7.3,5.1,15,22.6,102,2006
28,Phoenix Suns*,82,243.4,39.5,87.1,0.454,6.3,17.4,0.363,33.3,69.7,0.477,17.4,23.9,0.731,12.5,33.4,45.9,18.9,7.2,3.4,14.9,19.8,102.8,2006
29,Toronto Raptors,82,243.4,38.6,78.6,0.491,6.2,16.6,0.373,32.4,62,0.522,20.7,27.6,0.748,10.2,31,41.1,23.6,6.3,4.4,14.2,22.4,104,2006
30,Seattle SuperSonics,82,241.8,39,80.4,0.485,6.6,17.6,0.375,32.4,62.8,0.516,20.9,27.5,0.76,12.2,28.2,40.5,24.1,7.3,4.9,14.6,22.2,105.6,2006
1,San Antonio Spurs*,82,241.2,34.9,78.8,0.443,4.5,13.4,0.334,30.4,65.4,0.465,15.9,21.4,0.74,10.1,29,39.1,17.3,7.1,4.1,14.3,21.2,90.1,2007
2,Detroit Pistons*,82,242.4,34.4,77.3,0.445,5,14.7,0.339,29.4,62.6,0.47,18.1,24.5,0.74,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,91.8,2007
3,Houston Rockets*,82,242.1,34.1,79.3,0.429,5.8,16.4,0.351,28.3,62.9,0.45,18.3,24.4,0.749,9.8,31.1,40.8,19.4,7,4.3,14.2,19.9,92.1,2007
4,Dallas Mavericks*,82,240.9,34,76.1,0.447,4.6,13.1,0.349,29.5,63,0.467,20.2,27,0.746,10.2,27.9,38.1,17.9,6.9,3.8,14.5,22.1,92.8,2007
5,Cleveland Cavaliers*,82,242.4,34.6,77.3,0.448,4.9,15,0.329,29.7,62.3,0.476,18.8,25.6,0.734,9.8,30,39.9,20.1,6.6,4.3,15.3,22,92.9,2007
6,Chicago Bulls*,82,241.2,34.1,78.2,0.435,5.9,16.9,0.349,28.2,61.3,0.459,19.7,27.1,0.73,10.9,30,40.9,20.4,7.5,5.3,17.4,23.2,93.8,2007
7,Orlando Magic*,82,241.2,33.4,75.5,0.442,5.6,15.9,0.353,27.8,59.6,0.466,21.6,28.4,0.76,10.5,27,37.6,19.6,8.3,4.6,15,23.4,94,2007
8,Miami Heat*,82,242.1,35.3,79.5,0.444,6.5,18.2,0.355,28.8,61.2,0.471,18.5,24.9,0.742,11.2,30.1,41.3,20.2,6.9,3.8,14.5,21.8,95.5,2007
9,Los Angeles Clippers,82,240.6,35.5,78.5,0.452,5.5,16.4,0.339,30,62.1,0.482,19.5,26.1,0.748,10.3,29,39.3,21,7.1,3.9,13.8,22.3,96.1,2007
10,New Orleans/Oklahoma City Hornets,82,242.4,36.6,80.2,0.457,6.8,19.2,0.355,29.8,61,0.489,17,22.4,0.759,10.4,30.4,40.8,20.8,6.8,4.8,13.6,21.1,97.1,2007
11,Philadelphia 76ers,82,242.4,37.1,80.1,0.463,6.1,17.4,0.353,30.9,62.8,0.493,17.7,23.5,0.754,11.8,29.3,41.1,22.3,7.4,3.9,15.6,22,98,2007
12,Indiana Pacers,82,241.2,35.7,78.2,0.457,5.3,14.3,0.372,30.4,63.9,0.476,21.2,28.2,0.753,11.2,30.5,41.6,20,7.9,5,15.7,23.7,98,2007
13,New Jersey Nets*,82,242.4,35.5,79,0.45,6.3,17.7,0.357,29.2,61.2,0.476,21,27.6,0.762,10.6,30.8,41.4,22,7.1,4.5,14.5,23,98.3,2007
14,Portland Trail Blazers,82,243.4,36.1,76.7,0.471,5.7,15.8,0.361,30.4,61,0.499,20.5,26.3,0.778,10.4,28.6,39,20.8,6.6,4.6,13.7,21.3,98.4,2007
15,Atlanta Hawks,82,242.4,36,77.3,0.466,5.7,15.1,0.376,30.3,62.2,0.488,20.7,28.2,0.734,11.6,28.9,40.5,21.1,7.3,5.1,15.2,22.6,98.4,2007
16,Toronto Raptors*,82,240.9,37.2,80.4,0.463,6.5,18.2,0.357,30.7,62.2,0.494,17.6,23.3,0.754,10.3,32.2,42.5,21.2,6,3.9,15.1,21.8,98.5,2007
17,Utah Jazz*,82,241.5,34.4,75.5,0.455,6.2,17.4,0.355,28.2,58.1,0.485,23.7,30.9,0.767,9.9,27.1,37,18.9,7.6,5.3,15,24.5,98.6,2007
18,Boston Celtics,82,242.1,36.2,77.3,0.468,5.2,14.8,0.354,30.9,62.5,0.495,21.7,29,0.747,10.3,30.2,40.5,22.1,7.4,5.5,15.2,21.4,99.2,2007
19,Minnesota Timberwolves,82,244,37.5,81.6,0.46,6.3,18.1,0.348,31.2,63.4,0.492,18.4,24.2,0.76,11.7,29.7,41.4,21.7,7.1,4.4,14.2,20.5,99.7,2007
20,New York Knicks,82,244,36.8,80.1,0.46,7,18.6,0.376,29.9,61.5,0.485,19.7,26,0.756,10.8,28,38.8,21.3,7.5,5,13.7,22.9,100.3,2007
21,Charlotte Bobcats,82,244,36.6,78.7,0.465,5.5,15.2,0.363,31.1,63.5,0.489,22,29.3,0.75,11.3,31.2,42.6,20.9,7.4,5.3,15.8,21.8,100.6,2007
22,Seattle SuperSonics,82,241.8,38.1,80.1,0.476,6.3,17.5,0.361,31.8,62.6,0.508,19.5,25.9,0.751,11.6,29.4,41,22.8,7.2,4.2,15,19.9,102,2007
23,Phoenix Suns*,82,242.7,39.5,86.4,0.457,6.1,16.9,0.363,33.3,69.5,0.48,17.8,23.2,0.767,12.3,30.5,42.8,18.9,6.9,3.7,15.1,21.5,102.9,2007
24,Sacramento Kings,82,241.5,38.4,81.4,0.472,6.8,18.6,0.365,31.6,62.8,0.503,19.5,25.8,0.757,11.1,32.3,43.4,22.4,7,4.9,16.3,24.3,103.1,2007
25,Los Angeles Lakers*,82,244.3,37.8,81.9,0.461,6.4,17.8,0.358,31.4,64.1,0.49,21.5,28.3,0.76,11.6,30.6,42.2,21.9,7.9,5,14.7,23.4,103.4,2007
26,Denver Nuggets*,82,241.2,39.7,86.4,0.46,6.8,19.1,0.353,33,67.3,0.49,17.5,23.7,0.739,12.3,30,42.3,24.5,8.3,5.2,16.4,23.7,103.7,2007
27,Milwaukee Bucks,82,242.1,39,81.4,0.48,6.9,18.7,0.368,32.1,62.6,0.513,19.1,25.7,0.742,13,30.1,43,25.3,7.5,5.3,15.7,21,104,2007
28,Washington Wizards*,82,241.8,38.6,81.7,0.473,7.3,19.3,0.377,31.3,62.4,0.502,20.3,26.2,0.777,11.9,31.1,43,23.7,6.3,4.6,15.7,23.5,104.9,2007
29,Memphis Grizzlies,82,243.7,40.1,82.5,0.486,7,18,0.389,33.1,64.4,0.513,19.5,25.8,0.759,11.8,30.3,42,25.1,8.3,5.5,15.3,24.3,106.7,2007
30,Golden State Warriors*,82,240.9,38.7,83.8,0.462,7.4,20.3,0.366,31.2,63.5,0.492,22.1,29.5,0.75,13.1,33.3,46.4,24.7,8.3,4.9,18.6,22.3,106.9,2007
1,Detroit Pistons*,82,240.6,33.3,76.1,0.437,5,15,0.332,28.3,61,0.463,18.6,25,0.744,10.5,28.6,39.1,19.1,5.8,3.9,13.5,19.7,90.1,2008
2,Boston Celtics*,82,240.9,32.4,77.3,0.419,5.9,18.7,0.316,26.5,58.6,0.452,19.6,26.3,0.743,11,27.9,38.9,18.8,7.2,4.7,16,22.2,90.3,2008
3,San Antonio Spurs*,82,240.6,34.8,78.4,0.444,5.1,15,0.342,29.7,63.5,0.468,15.8,20.9,0.756,9.5,30.8,40.3,18.2,6.9,4.4,12.9,19.8,90.6,2008
4,Houston Rockets*,82,240.6,34.8,80.4,0.433,5.3,14.5,0.365,29.5,66,0.447,17.2,23.3,0.737,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,92,2008
5,New Orleans Hornets*,82,241.5,37,80.5,0.46,6.6,18.9,0.351,30.4,61.6,0.494,14.8,19.3,0.771,9.9,30.9,40.8,21.7,5.7,4,13.9,19.2,95.6,2008
6,Dallas Mavericks*,82,240.6,35.4,79.9,0.443,5,14.2,0.349,30.4,65.6,0.463,20.1,26.4,0.76,10.8,29.5,40.3,18.9,6.5,4.4,12.2,21.2,95.9,2008
7,Philadelphia 76ers*,82,240.9,36.6,79.3,0.461,6.8,18.9,0.36,29.8,60.4,0.493,16.2,21,0.772,11.3,28,39.2,23.2,6.7,5.1,15.7,20.8,96.2,2008
8,Portland Trail Blazers,82,242.7,36.4,80.7,0.451,6.5,18.3,0.356,29.9,62.4,0.479,17.1,22.3,0.766,11.7,30.1,41.7,20.9,6,3.7,12.5,20.2,96.3,2008
9,Cleveland Cavaliers*,82,242.1,35.8,78.8,0.455,6.2,17.3,0.357,29.7,61.5,0.482,18.9,25.2,0.748,9.9,30.5,40.4,21,6.8,4.7,13.3,20.3,96.7,2008
10,Toronto Raptors*,82,241.8,36.7,80.1,0.458,7.5,20.5,0.368,29.1,59.6,0.489,16.4,21.1,0.776,10.1,31.5,41.6,21.9,5.7,4.1,14,18.4,97.3,2008
11,Orlando Magic*,82,241.2,37.3,83.6,0.446,6.3,17.6,0.358,31,66,0.469,18.2,24.1,0.754,11,30.7,41.7,21.5,7.1,4.2,13.2,23.1,99,2008
12,Washington Wizards*,82,242.7,36.8,79.7,0.461,8.3,21.6,0.386,28.4,58.2,0.489,17.3,22.9,0.754,11,30.2,41.2,23.9,6.5,4.4,14,20.2,99.2,2008
13,Utah Jazz*,82,240.3,35.3,76.7,0.461,6.2,17.3,0.357,29.1,59.4,0.491,22.5,30.1,0.749,10.3,27.5,37.8,19.9,7.5,5.1,15.9,23.1,99.3,2008
14,Miami Heat,82,241.8,36.9,79,0.468,6.7,18.3,0.369,30.2,60.7,0.497,19.4,25.7,0.755,11.2,31.9,43.1,22.2,7.7,4.2,14.2,20.1,100,2008
15,Atlanta Hawks*,82,242.1,38,82.1,0.463,6.2,17.2,0.362,31.7,64.9,0.489,17.8,23.7,0.752,11.8,29.1,40.9,22.3,7.5,5.1,13.7,21.9,100,2008
16,Chicago Bulls,82,241.5,36.4,80.3,0.453,7,18.6,0.375,29.4,61.7,0.476,20.7,27,0.766,11.1,31.5,42.6,21.9,7.9,5.7,15.3,21.3,100.4,2008
17,New Jersey Nets,82,241.8,36.4,79.8,0.456,6.5,17.7,0.369,29.9,62.1,0.48,21.6,28.2,0.768,10.9,30.7,41.6,22.1,8.1,4.4,13.4,22.4,100.9,2008
18,Los Angeles Clippers,82,241.5,38,81.3,0.467,5.9,17,0.349,32,64.4,0.498,19.2,25.6,0.751,11.2,32.4,43.6,22.4,7.2,4.7,13.6,21.6,101.1,2008
19,Los Angeles Lakers*,82,241.2,38.1,85.6,0.445,6.8,18.7,0.362,31.4,67,0.469,18.3,24.3,0.752,12,30.7,42.8,21.9,7.7,4.5,14.2,22.6,101.3,2008
20,Charlotte Bobcats,82,242.4,38,81.5,0.466,6.3,17.8,0.355,31.7,63.8,0.497,19.2,25.6,0.747,12.2,31.6,43.7,21.8,7.6,5.8,14.4,21,101.4,2008
21,Minnesota Timberwolves,82,240.6,37.3,79,0.472,6.6,18.5,0.357,30.7,60.5,0.507,21.2,27.6,0.769,10.6,31,41.7,23.2,7.4,5.7,13.5,17.5,102.4,2008
22,New York Knicks,82,242.4,38.8,81.8,0.474,7.2,19.4,0.369,31.7,62.4,0.507,18.7,25.3,0.739,11.3,31.4,42.6,21.6,7.6,5.2,12.8,20.3,103.5,2008
23,Milwaukee Bucks,82,242.1,38.4,80,0.48,7.2,18.7,0.384,31.2,61.4,0.509,20,26.1,0.766,10.6,30,40.7,23.3,7.9,4.9,13.7,21.1,103.9,2008
24,Sacramento Kings,82,241.8,38.3,82.1,0.466,7.3,19.5,0.373,31,62.6,0.495,21,27.9,0.753,11.8,30.1,41.9,22.9,8.1,5.5,15.2,23.1,104.8,2008
25,Phoenix Suns*,82,241.2,41.1,90,0.456,5.7,16.2,0.353,35.4,73.8,0.479,17.2,22.9,0.749,13.4,30.5,43.9,19.6,7.3,3.8,13.4,21.1,105,2008
26,Indiana Pacers,82,240.9,37.7,83.1,0.454,7.4,19.2,0.386,30.3,64,0.474,22.6,29.8,0.757,11.3,34.1,45.5,22.2,8.1,5.1,15.8,21.7,105.4,2008
27,Seattle SuperSonics,82,241.8,40.1,87,0.461,7.4,19.2,0.385,32.7,67.8,0.482,18.7,25,0.749,11.7,32.4,44.1,24.4,8.6,5.4,13.2,19.6,106.3,2008
28,Memphis Grizzlies,82,241.5,41.4,86.3,0.48,7.2,19.8,0.364,34.2,66.5,0.514,16.9,21.8,0.774,11.4,33.2,44.5,23.9,8.7,4.9,13.4,22.5,106.9,2008
29,Denver Nuggets*,82,242.1,40.7,89.1,0.457,7.6,20.9,0.363,33.1,68.2,0.485,18.1,24.7,0.73,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,107,2008
